state,total_cases,total_deaths
Texas,10317999,177326.0
New York,8919753,638549.0
California,8482919,144447.0
Florida,6799288,130514.0
Arizona,3702313,77870.0
Illinois,3337783,99264.0
Georgia,3239651,72153.0
New Jersey,3023163,202331.0
Tennessee,2734878,33788.0
Pennsylvania,2683046,112951.0
Ohio,2514147,60618.0
North Carolina,2477971,40954.0
Michigan,2464071,109267.0
Wisconsin,2228100,23912.0
Massachusetts,2053088,119857.0
Louisiana,1902859,66619.0
Indiana,1782433,46685.0
Minnesota,1776025,31628.0
Virginia,1753730,36457.0
Maryland,1720332,54384.0
Missouri,1704811,29990.0
South Carolina,1679202,35776.0
Alabama,1618989,26643.0
Iowa,1396426,19449.0
Colorado,1270868,31470.0
Connecticut,1268663,80754.0
Washington,1255480,29187.0
Mississippi,1173695,32246.0
Utah,1156140,5870.0
Oklahoma,1128162,12394.0
Kentucky,1121336,16956.0
Arkansas,1088172,17315.0
Kansas,799611,10304.0
Nebraska,777127,7720.0
Nevada,756379,14205.0
Idaho,671916,6760.0
New Mexico,560555,12398.0
Puerto Rico,540555,4824.0
Oregon,469599,7079.0
South Dakota,366692,4503.0
North Dakota,363431,4754.0
Rhode Island,342818,13923.0
Delaware,321642,8983.0
Montana,306732,3543.0
West Virginia,264603,4470.0
District of Columbia,225209,8999.0
New Hampshire,200585,7982.0
Wyoming,149642,1192.0
Hawaii,142732,1557.0
Alaska,117735,497.0
Maine,74578,1908.0
Guam,55079,643.0
Vermont,29030,902.0
Virgin Islands,11193,178.0
Northern Mariana Islands,587,22.0
